[SE★이슈] ITZY 쇼케이스를 온라인으로? 코로나19에 연예계는 '언택트'가 대...,신종 코로나바이러스 감염증(코로나19) 사태로 ‘언택트(Untact·비대면 접촉)’ 문화가 확산하자 대중문화계가 대체 방안을 모색하고 나섰다. 대부분의 방송과 공연이 취소되거나 연기·중단됐지만 유튜브 생중계 등... 
靑 &quot;김정숙 여사와 지오영 대표 일면식도 없다… 가짜뉴스 도 넘어&quot;,청와대는 9일 신종 코로나바이러스 감염증(코로나19) 사태와 관련한 가짜뉴스에 대해 강경 대응 방침을 밝혔다. 윤재관 청와대 부대변인은 이날 오후 춘추관 브리핑에서 &quot;최근 가짜뉴스가 도를 넘었고  이에 대해 매우... 
임신부 7명 코로나19 확진… 태아 전파 확률은?,최근 임신부와 신생아가 잇달아 신종 코로나 바이러스 감염증(코로나19) 확진 판정을 받은 데 대해 보건당국이 &quot;면밀한 모니터링과 관리가 필요하다&quot;고 말했다. 정은경 질병관리본부 중앙방역대책본부(방대본) 본부장은... 
[여명] 코로나19 이후가 더 걱정이다,모칸의 사례를 인용한 것은 신종 코로나바이러스 감염증(코로나19) 사태를 보면서 국가의 위기관리 리더십과 정책 선택의 중요성을 다시 한 번 깨달았기 때문이다. 삶과 죽음을 가르는 찰나의 순간  모칸은 우왕좌왕하지... 
고소영이 읽는 책은?…곰돌이 모자 셀카 '화제',한편  고소영은 지난 2010년 배우 장동건과 결혼해 슬하에 1남 1녀를 두고 있으며  최근 코로나19로 고통받는 가정을 지원하기 위해 후원금과 위생용품 등 총 1억 원 상당을 기부해 주위를 훈훈하게 했습니다.... 
청학1동 손세정제로 코로나는 막고 복지는 찾고,영도구 청학1동지역사회보장협의체는 3월 9일부터 「코로나는 막GO 복지는 찾GO」사업을 통해 감염병에 상대적으로 취약한 영·유아  어린이가 있는 기초수급 및 한부모가정 50세대에 손세정제를 제공한다. 코로나19의... 
세계 과학자들 “코로나19 중국에서 시작된 것 맞다”…중국 변명 반박,중국이 신종 코로나바이러스 감염증(코로나19)이 자국에서 시작된 것이 아니라고 발뺌하는 가운데 이를 반박할 수 있는 연구결과가 나왔다. 중국 정부가 ‘모범 사례’라고 추켜세우는 후베이성 우한 봉쇄 조치는... 
코로나19  10세 미만 환자는 0.9%,모두 66명…확진자 중 임신부는 7명 코로나19 국내 확진자 가운데 10세 미만 환자는 66명  0.9%인 것으로... 정부는 주로 비말과 접촉으로 전파되는 코로나19의 특성상 출산 과정에서 태아에게 전파될 확률은 적다고... 
장애인가정에 생필품과 마스크 전달식 가져,장애인 에이블뉴스 - 심명수 기자 = 당진시장애인복지관(관장 정춘진)은 코로나바이러스감염증19로 외출에... 9일(월)부터 13일(금)까지 전직원이 생활필수품과 마스크를 가지고 장애인 가정을 방문하여 코로나바이러스... 
'워크맨' 장성규와 김민아 알바 일당 포함한 1 000만원 기부,‘워크맨’이 신종 코로나바이러스 감염증(코로나19) 피해 복구 기부 대열에 합류한다. JTBC 디지털 스튜디오 룰루랄라가 젲가하는 웹 예능 콘텐츠 ‘워크맨’이 정부지정 재해구호 단체인 희망브리지에 1 000만원의... 
학원측 &quot;다음주 탄력 휴원&quot; vs 유은혜 &quot;쉽게 결정사항 아냐&quot;,갖고 &quot;코로나19 진정을 위해 학원도 적극적으로 휴원에 동참해달라&quot;고 요구했다. 이에 학원총연합회는 &quot;휴원... 이번주까지의 코로나19 상황 변화  질병관리본부 등 방역 당국 판단 등을 종합적으로 고려해 검토하겠다&quot;라고... 
